chapter_no,chapter_name,section_no,section_name,excerise,problem_no,question
,,,,,12EA,"A team consisting of three boys and four girls must be formed from a group of nine boys and eight girls. If two of the girls are feuding and refuse to play on the same team, how many possibilities do we have?"
,,,,,13EA,A fair coin is tossed 10 times. What is the probability of (a) five heads; (b) at least five heads?
,,,,,14EA,"If five numbers are selected at random from the set {1, 2, 3,..., 20}, what is the probability that their minimum is larger than 5?"
,,,,,15EA,"From a faculty of six professors, six associate professors, ten assistant professors, and twelve instructors, a committee of size six is formed randomly. What is the probability that (a) there are exactly two professors on the committee; (b) all committee members are of the same rank?"
,,,,,16EA,"A lake contains 200 trout; 50 of them are caught randomly, tagged, and returned. If, again, we catch 50 trout at random, what is the probability of getting exactly five tagged trout?"
,,,,,17EA,Find the values ofn i=0 2i  n i  and n i=0 xi  n i 
,,,,,18EA,A fair die is tossed six times. What is the probability of getting exactly two 6’s?
,,,,,19EA,"Suppose that 12 married couples take part in a contest. If 12 persons each win a prize, what is the probability that from every couple one of them is a winner? Assume that all of the  24 12 possible sets of winners are equally probable."
,,,,,20EA,"Poker hands are classified into the following 10 nonoverlapping categories in increasing order of likelihood. Calculate the probability of the occurrence of each class separately. Recall that a poker hand consists of five cards selected randomly from an ordinary deck of 52 cards. Royal flush: The 10, jack, queen, king, and ace of the same suit.
Straight flush: All cards in the same suit, with consecutive denominations except for the royal flush.
Four of a kind: Four cards of one denomination and one card of a
second denomination: for example, four 8’s and a jack.
Full house: Three cards of one denomination and two cards of a sec- ond denomination: for example, three 4’s and two queens.
Flush: Five cards all in one suit but not a straight or royal flush.
Straight: Cards of distinct consecutive denominations, not all in one
suit: for example, 3 of hearts, 4 of hearts, 5 of spades, 6 of hearts, and 7
of clubs.
Three of a kind: Three cards of one denomination, a fourth card of a
second denomination, and a fifth card of a third denomination.
Two pairs: Two cards from one denomination, another two from a second denomination, and the fifth card from a third denomination.
One pair: Two cards from one denomination, with the third, fourth, and
fifth cards from a second, third, and fourth denomination, respectively:
for example, two 8’s, a king, a 5, and a 4.
None of the above."
,,,,,21EA,"There are 12 nuts and 12 bolts in a box. If the contents of the box are divided between two handymen, what is the probability that each handyman will get six nuts and six bolts?"
,,,,,22EA,"A history professor who teaches three sections of the same course every semester decides to make several tests and use them for the next 10 years (20 semesters) as final exams. The professor has two policies: (1) not to give the same test to more than one class in a semester, and (2) not to repeat the same combination of three tests for any two semesters. Determine the minimum number of different tests that the professor should prepare."
,,,,,23EA,"A four-digit number is selected at random. What is the probability that its ones place is less than its tens place, its tens place is less than its hundreds place, and its hundreds place is less than its thousands place? Note that the first digit of an n-digit number is nonzero."
,,,,,24EA,"Using Theorem 2.6, expand (x + y + z)2"
,,,,,25EA,What is the coefficient of x2y3z2 in the expansion of (2x ? y + 3z)7?
,,,,,26EA,What is the coefficient of x3y7 in the expansion of (2x ? y + 3)13?
,,,,,27EA,"An ordinary deck of 52 cards is dealt, 13 each, to four players at random. What is the probability that each player receives 13 cards of the same suit?"
,,,,,28EA,"Using induction, binomial expansion, and the identity  n n1  (n ? n1)! n2! n3! ··· nk! = n! n1! n2! ··· nk! , prove the formula of multinomial expansion"
,,,,,29EA,"A staircase is to be constructed between M and N (see Figure 2.4). The distances from M to L, and from L to N, are 5 and 2 meters, respectively. If the height of a step is 25 centimeters and its width can be any integer multiple of 50 centimeters, how many different choices do we have?"
,,,,,30EA,Each state of the 50 in the United States has two senators. What is the probability that in a random committee of 50 senators (a) Maryland is represented; (b) all states are represented?
,,,,,31EA,"According to the 1998 edition of Encyclopedia Britannica, “there are at least 15,000 to as many as 35,000 species of orchids.” These species have been found naturally and are distinct from each other. Suppose that hybrids can be created by crossing any two existing species. Furthermore, suppose that hybrids themselves can be continued to be hybridized with each other or with an original species. Orchid lovers develop thousands and thousands of hybrids for use as garden or greenhouse ornamental and for the commercial flower trade. Suppose that all species are crossed, two at a time, to create the first generation of hybrids. Then the first generation of hybrids are crossed with each other and with the original species, two at a time, to develop the second generation of hybrids. The second generation of hybrids are crossed with each other, with the first generation hybrids, and with the original species, two at a time, to generate the third generation of hybrids, and so on. Let n be the total number of original species of orchids. Let nk be the number of hybrids in the kth generation. (a) Find nk in terms of n, n1, ..., nk?1. (b) For n = 25, 000, find the largest possible total number of all hybrids in the first four generations."
,,,,Exercise B,1EB,Prove the binomial expansion formula by induction. Hint: Use the identity  n k ? 1  + n k  = n + 1 k  .
,,,,,2EB,"A class contains 30 students. What is the probability that there are six months each containing the birthdays of two students, and six months each containing the birthdays of three students? Assume that all months have the same probability of including the birthday of a randomly selected person"
,,,,,3EB,"In a closet there are 10 pairs of shoes. If six shoes are selected at random, what is the probability of (a) no complete pairs; (b) exactly one complete pair; (c) exactly two complete pairs; (d) exactly three complete pairs?"
,,,,,4EB,An ordinary deck of 52 cards is divided into two equal sets randomly. What is the probability that each set contains exactly 13 red cards?
,,,,,5EB,"In Maryland’s lottery, players pick six different integers between 1 and 49, the order of selection being irrelevant. The lottery commission then randomly selects six of these as the winning numbers. What is the probability that at least two consecutive integers are selected among the winning numbers? Hint: Let A be the set of all 6-element combinations of  1, 2,..., 49 with no consecutive integers. Let B be the set of all 6-element combinations of  1, 2,..., 44 . Begin by showing that there is a one-to-one correspondence between A and B."
